mode,ts,elapsed_s,waiting,stale,source
OFF,1789150138.847233,10.382488012313843,12.0,False,/content/DoS-Stress-Testing/runs/demo-20260911-180828-5190b1-flood-off/gateway_samples.jsonl
OFF,1789150139.097712,10.632966995239258,12.0,False,/content/DoS-Stress-Testing/runs/demo-20260911-180828-5190b1-flood-off/gateway_samples.jsonl
OFF,1789150139.348049,10.883303880691528,13.0,False,/content/DoS-Stress-Testing/runs/demo-20260911-180828-5190b1-flood-off/gateway_samples.jsonl
OFF,1789150139.5978742,11.133129119873047,15.0,False,/content/DoS-Stress-Testing/runs/demo-20260911-180828-5190b1-flood-off/gateway_samples.jsonl
OFF,1789150139.8480144,11.383269309997559,16.0,False,/content/DoS-Stress-Testing/runs/demo-20260911-180828-5190b1-flood-off/gateway_samples.jsonl
OFF,1789150140.098496,11.633750915527344,23.0,False,/content/DoS-Stress-Testing/runs/demo-20260911-180828-5190b1-flood-off/gateway_samples.jsonl
OFF,1789150140.349554,11.884809017181396,24.0,False,/content/DoS-Stress-Testing/runs/demo-20260911-180828-5190b1-flood-off/gateway_samples.jsonl
OFF,1789150140.6005847,12.135839700698853,24.0,False,/content/DoS-Stress-Testing/runs/demo-20260911-180828-5190b1-flood-off/gateway_samples.jsonl
OFF,1789150140.8516755,12.386930465698242,18.0,False,/content/DoS-Stress-Testing/runs/demo-20260911-180828-5190b1-flood-off/gateway_samples.jsonl
OFF,1789150141.1027205,12.637975454330444,21.0,False,/content/DoS-Stress-Testing/runs/demo-20260911-180828-5190b1-flood-off/gateway_samples.jsonl
OFF,1789150141.353433,12.8886878490448,21.0,False,/content/DoS-Stress-Testing/runs/demo-20260911-180828-5190b1-flood-off/gateway_samples.jsonl
OFF,1789150141.6045737,13.1398286819458,21.0,False,/content/DoS-Stress-Testing/runs/demo-20260911-180828-5190b1-flood-off/gateway_samples.jsonl
OFF,1789150141.8556383,13.39089322090149,20.0,False,/content/DoS-Stress-Testing/runs/demo-20260911-180828-5190b1-flood-off/gateway_samples.jsonl
OFF,1789150142.1064773,13.641732215881348,21.0,False,/content/DoS-Stress-Testing/runs/demo-20260911-180828-5190b1-flood-off/gateway_samples.jsonl
OFF,1789150142.3567865,13.892041444778442,23.0,False,/content/DoS-Stress-Testing/runs/demo-20260911-180828-5190b1-flood-off/gateway_samples.jsonl
OFF,1789150142.6073587,14.142613649368286,20.0,False,/content/DoS-Stress-Testing/runs/demo-20260911-180828-5190b1-flood-off/gateway_samples.jsonl
OFF,1789150142.8595922,14.39484715461731,21.0,False,/content/DoS-Stress-Testing/runs/demo-20260911-180828-5190b1-flood-off/gateway_samples.jsonl
OFF,1789150143.1098528,14.645107746124268,23.0,False,/content/DoS-Stress-Testing/runs/demo-20260911-180828-5190b1-flood-off/gateway_samples.jsonl
OFF,1789150143.3606029,14.895857810974121,23.0,False,/content/DoS-Stress-Testing/runs/demo-20260911-180828-5190b1-flood-off/gateway_samples.jsonl
OFF,1789150143.6109686,15.146223545074463,23.0,False,/content/DoS-Stress-Testing/runs/demo-20260911-180828-5190b1-flood-off/gateway_samples.jsonl
OFF,1789150143.8625731,15.397828102111816,22.0,False,/content/DoS-Stress-Testing/runs/demo-20260911-180828-5190b1-flood-off/gateway_samples.jsonl
OFF,1789150144.113118,15.648372888565063,23.0,False,/content/DoS-Stress-Testing/runs/demo-20260911-180828-5190b1-flood-off/gateway_samples.jsonl
OFF,1789150144.3635986,15.898853540420532,24.0,False,/content/DoS-Stress-Testing/runs/demo-20260911-180828-5190b1-flood-off/gateway_samples.jsonl
OFF,1789150144.6143813,16.149636268615723,23.0,False,/content/DoS-Stress-Testing/runs/demo-20260911-180828-5190b1-flood-off/gateway_samples.jsonl
OFF,1789150144.8642592,16.399514198303223,21.0,False,/content/DoS-Stress-Testing/runs/demo-20260911-180828-5190b1-flood-off/gateway_samples.jsonl
OFF,1789150145.1142986,16.649553537368774,21.0,False,/content/DoS-Stress-Testing/runs/demo-20260911-180828-5190b1-flood-off/gateway_samples.jsonl
OFF,1789150145.3640902,16.89934515953064,21.0,False,/content/DoS-Stress-Testing/runs/demo-20260911-180828-5190b1-flood-off/gateway_samples.jsonl
OFF,1789150145.6149926,17.15024757385254,21.0,False,/content/DoS-Stress-Testing/runs/demo-20260911-180828-5190b1-flood-off/gateway_samples.jsonl
OFF,1789150145.8646648,17.399919748306274,19.0,False,/content/DoS-Stress-Testing/runs/demo-20260911-180828-5190b1-flood-off/gateway_samples.jsonl
OFF,1789150146.1151595,17.65041446685791,20.0,False,/content/DoS-Stress-Testing/runs/demo-20260911-180828-5190b1-flood-off/gateway_samples.jsonl
OFF,1789150146.365011,17.90026593208313,20.0,False,/content/DoS-Stress-Testing/runs/demo-20260911-180828-5190b1-flood-off/gateway_samples.jsonl
OFF,1789150146.6155448,18.15079975128174,22.0,False,/content/DoS-Stress-Testing/runs/demo-20260911-180828-5190b1-flood-off/gateway_samples.jsonl
OFF,1789150146.8664703,18.40172529220581,24.0,False,/content/DoS-Stress-Testing/runs/demo-20260911-180828-5190b1-flood-off/gateway_samples.jsonl
OFF,1789150147.1176064,18.65286135673523,23.0,False,/content/DoS-Stress-Testing/runs/demo-20260911-180828-5190b1-flood-off/gateway_samples.jsonl
OFF,1789150147.367867,18.903121948242188,23.0,False,/content/DoS-Stress-Testing/runs/demo-20260911-180828-5190b1-flood-off/gateway_samples.jsonl
OFF,1789150147.6182253,19.153480291366577,23.0,False,/content/DoS-Stress-Testing/runs/demo-20260911-180828-5190b1-flood-off/gateway_samples.jsonl
OFF,1789150147.868368,19.40362286567688,23.0,False,/content/DoS-Stress-Testing/runs/demo-20260911-180828-5190b1-flood-off/gateway_samples.jsonl
OFF,1789150148.118684,19.65393900871277,21.0,False,/content/DoS-Stress-Testing/runs/demo-20260911-180828-5190b1-flood-off/gateway_samples.jsonl
OFF,1789150148.3690536,19.904308557510376,24.0,False,/content/DoS-Stress-Testing/runs/demo-20260911-180828-5190b1-flood-off/gateway_samples.jsonl
OFF,1789150148.6196704,20.15492534637451,23.0,False,/content/DoS-Stress-Testing/runs/demo-20260911-180828-5190b1-flood-off/gateway_samples.jsonl
OFF,1789150148.8718152,20.40707015991211,23.0,False,/content/DoS-Stress-Testing/runs/demo-20260911-180828-5190b1-flood-off/gateway_samples.jsonl
OFF,1789150149.1218202,20.65707516670227,20.0,False,/content/DoS-Stress-Testing/runs/demo-20260911-180828-5190b1-flood-off/gateway_samples.jsonl
OFF,1789150149.3725753,20.907830238342285,21.0,False,/content/DoS-Stress-Testing/runs/demo-20260911-180828-5190b1-flood-off/gateway_samples.jsonl
OFF,1789150149.622897,21.158151865005493,22.0,False,/content/DoS-Stress-Testing/runs/demo-20260911-180828-5190b1-flood-off/gateway_samples.jsonl
OFF,1789150149.873115,21.40837001800537,22.0,False,/content/DoS-Stress-Testing/runs/demo-20260911-180828-5190b1-flood-off/gateway_samples.jsonl
OFF,1789150150.1237822,21.659037113189697,23.0,False,/content/DoS-Stress-Testing/runs/demo-20260911-180828-5190b1-flood-off/gateway_samples.jsonl
OFF,1789150150.373972,21.909226894378662,22.0,False,/content/DoS-Stress-Testing/runs/demo-20260911-180828-5190b1-flood-off/gateway_samples.jsonl
OFF,1789150150.6255949,22.160849809646606,23.0,False,/content/DoS-Stress-Testing/runs/demo-20260911-180828-5190b1-flood-off/gateway_samples.jsonl
OFF,1789150150.8759873,22.411242246627808,24.0,False,/content/DoS-Stress-Testing/runs/demo-20260911-180828-5190b1-flood-off/gateway_samples.jsonl
OFF,1789150151.1264942,22.661749124526978,24.0,False,/content/DoS-Stress-Testing/runs/demo-20260911-180828-5190b1-flood-off/gateway_samples.jsonl
OFF,1789150151.377173,22.91242790222168,21.0,False,/content/DoS-Stress-Testing/runs/demo-20260911-180828-5190b1-flood-off/gateway_samples.jsonl
